player_id,name,team,g,gs,ip_outs,h,r,er,bb,so,hr,bf,hbp,w,l,sv,season,ip,era,whip,k_per_9,bb_per_9,fip
akink001,Keegan Akin,BAL,63,3,190,53,26,23,33,59,9,266,1,5,3,8,2025,63.1,3.27,1.36,8.38,4.69,4.69
bakeb001,Bryan Baker,BAL,41,0,115,29,13,11,9,49,6,147,0,3,2,2,2025,38.1,2.58,0.99,11.5,2.11,3.28
bautf001,Felix Bautista,BAL,35,0,104,16,10,10,23,50,3,142,0,1,1,19,2025,34.2,2.6,1.12,12.98,5.97,3.33
blews001,Scott Blewett,BAL,13,1,70,25,17,16,8,17,4,103,0,1,0,0,2025,23.1,6.17,1.41,6.56,3.09,4.9
bowmm001,Matthew Bowman,BAL,19,0,74,29,17,16,5,18,3,111,2,0,1,0,2025,24.2,5.84,1.38,6.57,1.82,4.07
bradk001,Kyle Bradish,BAL,6,6,96,23,9,9,10,47,3,126,1,1,1,0,2025,32.0,2.53,1.03,13.22,2.81,2.41
canoy001,Yennier Cano,BAL,65,0,174,62,36,33,24,53,7,251,3,3,7,2,2025,58.0,5.12,1.48,8.22,3.72,4.24
castj007,Jose Castillo,BAL,5,0,22,6,3,2,3,7,1,31,0,0,0,0,2025,7.1,2.45,1.23,8.59,3.68,4.19
contr001,Roansy Contreras,BAL,1,0,13,3,0,0,1,2,0,17,1,0,0,0,2025,4.1,0.0,0.92,4.15,2.08,3.56
domis001,Seranthony Dominguez,BAL,43,0,125,32,19,15,24,54,4,175,0,2,3,2,2025,41.2,3.24,1.34,11.66,5.18,3.48
dubis001,Shawn Dubin,BAL,7,0,24,7,3,3,3,7,0,34,1,0,0,0,2025,8.0,3.38,1.25,7.88,3.38,2.85
efliz001,Zach Eflin,BAL,14,14,214,88,48,47,13,50,18,309,2,6,5,0,2025,71.1,5.93,1.42,6.31,1.64,5.61
ennsd001,Dietrich Enns,BAL,17,1,86,27,13,10,11,34,4,123,0,2,2,2,2025,28.2,3.14,1.33,10.67,3.45,3.69
espaj001,Jose Espada,BAL,1,0,9,1,0,0,0,4,0,9,0,0,0,0,2025,3.0,0.0,0.33,12.0,0.0,0.43
garcr006,Rico Garcia,BAL,20,1,57,21,6,6,6,20,3,82,0,0,2,0,2025,19.0,2.84,1.42,9.47,2.84,3.99
gibsk002,Kyle Gibson,BAL,4,4,37,29,23,23,7,10,7,73,0,0,3,0,2025,12.1,16.78,2.92,7.3,5.11,10.56
hiray002,Yaramil Hiraldo,BAL,18,0,59,17,13,10,9,21,4,84,0,0,0,0,2025,19.2,4.58,1.32,9.61,4.12,4.98
jacka002,Alex Jackson,BAL,1,0,3,3,3,3,2,0,0,8,0,0,0,0,2025,1.0,27.0,5.0,0.0,18.0,9.1
kitta001,Andrew Kittredge,BAL,31,0,94,26,13,12,8,32,4,126,0,2,2,0,2025,31.1,3.45,1.09,9.19,2.3,3.48
kremd001,Dean Kremer,BAL,31,29,515,163,83,80,45,142,22,708,2,11,10,0,2025,171.2,4.19,1.21,7.44,2.36,3.93
martc009,Corbin Martin,BAL,16,0,54,17,9,6,8,23,3,83,2,1,0,2,2025,18.0,3.0,1.39,11.5,4.0,4.38
matej003,Jorge Mateo,BAL,1,0,3,5,5,5,2,0,1,11,1,0,0,0,2025,1.0,45.0,7.0,0.0,18.0,25.1
mcdec001,Chayce McDermott,BAL,4,1,26,12,15,15,12,9,3,51,1,0,1,0,2025,8.2,15.58,2.77,9.35,12.46,10.02
mortc002,Charlie Morton,BAL,23,17,304,110,63,61,48,101,16,464,9,7,8,0,2025,101.1,5.42,1.56,8.97,4.26,4.85
perec004,Cionel Perez,BAL,19,0,65,28,22,20,18,21,3,110,2,0,0,0,2025,21.2,8.31,2.12,8.72,7.48,5.73
potec001,Cody Poteet,BAL,1,0,8,6,5,5,2,1,0,16,0,0,0,0,2025,2.2,16.88,3.0,3.38,6.75,4.6
povic001,Cade Povich,BAL,22,20,337,125,70,65,43,118,17,488,1,3,8,0,2025,112.1,5.21,1.5,9.45,3.45,4.14
ragsc001,Carson Ragsdale,BAL,2,0,15,10,8,8,1,4,1,25,0,0,0,0,2025,5.0,14.4,2.2,7.2,1.8,4.7
rivee001,Emmanuel Rivera,BAL,1,0,3,8,8,8,2,0,1,13,0,0,0,0,2025,1.0,72.0,10.0,0.0,18.0,22.1
rodre005,Elvin Rodriguez,BAL,1,0,3,3,2,2,0,1,2,6,0,0,0,0,2025,1.0,18.0,3.0,9.0,0.0,27.1
roget003,Trevor Rogers,BAL,18,18,329,70,23,22,29,103,6,423,2,9,3,0,2025,109.2,1.81,0.9,8.45,2.38,2.78
sancg002,Gary Sanchez,BAL,1,0,3,2,4,4,1,0,1,7,1,0,0,0,2025,1.0,36.0,3.0,0.0,9.0,22.1
selbc001,Colin Selby,BAL,11,0,42,16,5,5,2,14,2,60,0,0,2,0,2025,14.0,3.21,1.29,9.0,1.29,3.39
sotog003,Gregory Soto,BAL,45,0,109,29,17,16,18,44,2,160,5,0,2,1,2025,36.1,3.96,1.29,10.9,4.46,3.29
strok001,Kade Strowd,BAL,24,0,79,14,6,5,12,24,1,102,1,0,1,0,2025,26.1,1.71,0.99,8.2,4.1,3.25
suara001,Albert Suarez,BAL,5,1,35,9,4,3,2,10,0,44,1,2,0,0,2025,11.2,2.31,0.94,7.71,1.54,2.16
sugat001,Tomoyuki Sugano,BAL,30,30,471,173,85,81,36,106,33,675,8,10,10,0,2025,157.0,4.64,1.33,6.08,2.06,5.32
vazql001,Luis Vazquez,BAL,4,0,13,3,0,0,1,0,0,14,0,0,0,0,2025,4.1,0.0,0.92,0.0,2.08,3.79
wellt003,Tyler Wells,BAL,4,4,65,17,7,7,2,18,4,82,0,2,1,0,2025,21.2,2.91,0.88,7.48,0.83,4.12
wolfg001,Grant Wolfram,BAL,21,0,80,35,20,16,15,31,2,133,1,3,1,0,2025,26.2,5.4,1.88,10.46,5.06,3.55
younb001,Brandon Young,BAL,12,12,173,67,42,40,22,47,12,256,0,1,7,0,2025,57.2,6.24,1.54,7.34,3.43,5.32
